EQ_NOM_EQUIPEMENT;EQ_GESTIONNAIRE;EQ_HORAIRES;EQ_SITE_WEB;EQ_TELEPHONE;EQ_ACCES_METRO;EQ_ACCES_BUS;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ARCHIVES MUNICIPALES TOULOUSE;Mairie de Toulouse - DGA Culture;Ouvert du lundi au vendredi de 9h à 17h. Fermeture de 12h à 13h30 pendant toutes les vacances scolaires. Fermeture annuelle la dernière quinzaine de juillet.;www.archives.toulouse.fr, www.urban-hist.toulouse.fr;05 61 61 63 33;Roseraie (A);36, 38;0002;RUE DES ARCHIVES;31500;TOULOUSE;4;4.1;1575828.0003;2270440.9998;1.46140004775055;43.6238450104102
CMAV - CENTRE MERIDIONAL DE L'ARCHITECTURE DE LA VILLE;Association;Ouvert du mardi au samedi de 13h à 19hfermé les dimanches, jours fériés et du 1er au 15 août;www.cmaville.org;05 61 23 30 49;Capitole (A), Jean Jaurès (B);ncv, 2, 10, 12, 14, 38, 78 et 80;0005;RUE SAINT PANTALEON;31000;TOULOUSE;1;1.1;1574444.0002;2268184.9999;1.44477240906718;43.6033133398526
ENSEMBLE CONVENTUEL DES JACOBINS;Mairie de Toulouse - DGA Culture;Ouvert tous les jours de 9h à 19h.;www.jacobins.mairie-toulouse.fr;05 61 22 21 92;Esquirol, Capitole (A);NCV, 2, 10, 12, 14, 38, 78, 80;0069;RUE PARGAMINIERES;31000;TOULOUSE;1;1.1;1574052.0002;2268323;1.4398861869367;43.6044898213059
INSTITUT CATHOLIQUE DE TOULOUSE - ESPACE MUSEOGRAPHIQUE BACCRABERE - SALLE TOLOSA;Autre institution publique;Ouvert le premier vendredi de chaque mois de 18h à 20h.;www.ict-toulouse.fr;05 61 36 81 12;Carmes (B);2, 38;0031;RUE DE LA FONDERIE;31000;TOULOUSE;1;1.1;1574290.9998;2267306.0001;1.44307942905077;43.595377470998
L'AEROTHEQUE;Structure commerciale;Ouvert le lundi et le mercredi de 14h à 17h et le mardi de 9h à 12h;www.aerotheque.fr;05 61 93 93 57;;15;TOUT;RUE MONTMORENCY;31200;TOULOUSE;3;3.1;1573021.0003;2269381.9999;1.42687258631623;43.6138469564661
MUSEE DE L'HISTOIRE DE LA MEDECINE DE TOULOUSE;Association;Ouvert tous les jeudi et vendredi de 11h à 17h, et le dimande de 10h à 18h.Visites guidées sur demande.;www.museemedecine.free.fr;05 61 77 84 25;Saint-Cyprien-République, Esquirol (A);2, 10, 12, 14, 78, 80;0002;RUE VIGUERIE;31300;TOULOUSE;2;2.1;1573767.9997;2267731.0002;1.43650555354195;43.599114742959
MUSEE DES AUGUSTINS - MUSEE DES BEAUX ARTS DE TOULOUSE;Mairie de Toulouse - DGA Culture;Tous les jours : 10h - 18h /  nocturne le mercredi jusqu'à 21h.;www.augustins.org;05 61 22 21 82;Esquirol (A) ou Carmes (B);ncv, 2, 10, 14, 38, 78, 80;0021;RUE DE METZ;31000;TOULOUSE;1;1.1;1574528.9998;2267878.0002;1.44589537477986;43.6005647238109
MUSEE DES COMPAGNONS;Association;Le Mercredi et le 1er dimanche de chaque mois de 14h à 17h;www.compagnons.org;05 62 47 41 77;Esquirol, Capitole (A);2, 10, 12, 14, 38, 78, 80;0002;RUE TRIPIERE;31000;TOULOUSE;1;1.1;1574246.9999;2267997.0002;1.44237595115615;43.6015886313484
MUSEE DES INSTRUMENTS DE MEDECINE DES HOPITAUX DE TOULOUSE;Structure commerciale;Ouvert tous les jeudi et vendredi de 13h à 17h. Ouvert le premier dimanche du mois.Visites guidées sur demande.;www.chu-toulouse.fr/le-musee-des-instruments-de;05 61 77 82 72;Saint-Cyprien-République, Esquirol (A);2, 10, 12, 14, 78, 80;0002;RUE VIGUERIE;31300;TOULOUSE;2;2.1;1573767.9997;2267731.0002;1.43650555354195;43.599114742959
MUSEE DU VIEUX TOULOUSE;Association;Ouvert tous les jours du 2 mai au 31 octobre de 14h00 à 18h00.Fermé le dimanche et jours fériés.;;05 62 27 11 50;Esquirol, Capitole (A);2, 10, 12, 14, 38, 78, 80;0007;RUE DU MAY;31000;TOULOUSE;1;1.1;1574309.0003;2268069.9997;1.44312698074796;43.6022559171114
MUSEE GEORGES-LABIT;Mairie de Toulouse - DGA Culture;Musée ouvert de 10h à 17h en hiver et de 10h à 18h en été (du 1er juin au 30 septembre). Fermeture hebdomadaire le mardi.Bibliothèque ouverte le lundi de 14h à 17h, le mardi et le mercredi : 9h-12h et 14h-17h.;www.musees-midi-pyrenees.fr/musees/musee-georges-labit/;05 61 14 65 50;François Verdier (B);10, 2, 27;TOUT;RUE DU JAPON;31400;TOULOUSE;5;5.3;1575505;2266700.9999;1.45824906738118;43.5901343957966
MUSEE PAUL-DUPUY - ARTS GRAPHIQUES ET ARTS DECORATIFS;Mairie de Toulouse - DGA Culture;Ouvert de 10h - 17h en hiver et de 10h à 18h en été (du 1er juin au 30 septembre). Fermé le mardi et jours fériés.;www.musees-midi-pyrenees.fr/musees/musee-paul-dupuy/;05 61 14 65 50;Esquirol (A) Carmes (B);ncv, 2, 12, 52;0013;RUE DE LA PLEAU;31000;TOULOUSE;1;1.1;1574603.9999;2267469;1.44691777045932;43.596896498431
